fraction,sample,buffer,mixing,wash,width,height,chip_area
3/64,1,11,5,1,2,6,12
5/64,1,11,5,1,2,6,12
7/64,2,18,7,2,2,10,20
9/64,2,14,7,1,2,8,16
11/64,1,7,5,0,2,4,8
13/64,2,10,6,1,2,6,12
15/64,2,10,6,1,2,6,12
17/64,5,11,8,2,2,8,16
19/64,4,8,7,1,2,6,12
21/64,4,8,7,1,2,6,12
23/64,7,13,10,2,2,10,20
25/64,6,10,9,1,2,8,16
27/64,3,5,6,0,2,4,8
29/64,5,7,7,1,2,6,12
31/64,5,7,7,1,2,6,12
33/64,9,7,8,2,2,8,16
35/64,7,5,7,1,2,6,12
37/64,7,5,7,1,2,6,12
39/64,12,8,10,2,2,10,20
41/64,10,6,9,1,2,8,16
43/64,5,3,6,0,2,4,8
45/64,8,4,7,1,2,6,12
47/64,8,4,7,1,2,6,12
49/64,13,3,7,2,2,8,16
51/64,10,2,6,1,2,6,12
53/64,10,2,6,1,2,6,12
55/64,17,3,8,2,2,10,20
57/64,14,2,7,1,2,8,16
59/64,7,1,5,0,2,4,8
61/64,11,1,5,1,2,6,12
63/64,11,1,5,1,2,6,12
