fraction,sample,buffer,mixing,wash,width,height,chip_area
3/1024,1,19,9,3,2,10,20
5/1024,1,19,9,3,2,10,20
7/1024,2,34,15,6,2,18,36
9/1024,2,30,15,5,2,16,32
11/1024,1,15,9,2,2,8,16
13/1024,2,26,14,4,2,14,28
15/1024,2,26,14,4,2,14,28
17/1024,2,26,14,4,2,14,28
19/1024,2,26,14,4,2,14,28
21/1024,1,15,9,2,2,8,16
23/1024,2,30,15,5,2,16,32
25/1024,3,41,19,7,2,22,44
27/1024,2,26,13,4,2,14,28
29/1024,2,26,13,4,2,14,28
31/1024,3,37,17,6,2,20,40
33/1024,3,33,17,5,2,18,36
35/1024,2,22,13,3,2,12,24
37/1024,2,22,13,3,2,12,24
39/1024,3,33,19,5,2,18,36
41/1024,2,22,15,3,2,12,24
43/1024,1,11,9,1,2,6,12
45/1024,2,22,14,3,2,12,24
47/1024,2,22,14,3,2,12,24
49/1024,3,29,17,4,2,16,32
51/1024,3,29,17,4,2,16,32
53/1024,2,18,12,2,2,10,20
55/1024,3,29,18,4,2,16,32
57/1024,3,29,18,4,2,16,32
59/1024,2,18,12,2,2,10,20
61/1024,3,25,15,3,2,14,28
63/1024,3,25,15,3,2,14,28
65/1024,3,25,15,3,2,14,28
67/1024,3,25,15,3,2,14,28
69/1024,2,18,12,2,2,10,20
71/1024,3,29,18,4,2,16,32
73/1024,3,29,18,4,2,16,32
75/1024,2,18,12,2,2,10,20
77/1024,3,29,17,4,2,16,32
79/1024,3,29,17,4,2,16,32
81/1024,2,22,14,3,2,12,24
83/1024,2,22,14,3,2,12,24
85/1024,1,11,9,1,2,6,12
87/1024,2,22,15,3,2,12,24
89/1024,3,33,19,5,2,18,36
91/1024,2,22,13,3,2,12,24
93/1024,2,22,13,3,2,12,24
95/1024,3,33,17,5,2,18,36
97/1024,4,40,19,6,2,22,44
99/1024,3,29,15,4,2,16,32
101/1024,3,29,15,4,2,16,32
103/1024,5,47,23,7,2,26,52
105/1024,4,36,19,5,2,20,40
107/1024,2,18,11,2,2,10,20
109/1024,3,29,16,4,2,16,32
111/1024,3,29,16,4,2,16,32
113/1024,3,29,16,4,2,16,32
115/1024,3,29,16,4,2,16,32
117/1024,2,18,11,2,2,10,20
119/1024,4,36,19,5,2,20,40
121/1024,5,43,21,6,2,24,48
123/1024,3,25,13,3,2,14,28
125/1024,3,25,13,3,2,14,28
127/1024,4,32,15,4,2,18,36
129/1024,4,28,15,3,2,16,32
131/1024,3,21,13,2,2,12,24
133/1024,3,21,13,2,2,12,24
135/1024,5,35,21,4,2,20,40
137/1024,4,28,19,3,2,16,32
139/1024,2,14,11,1,2,8,16
141/1024,3,21,16,2,2,12,24
143/1024,3,21,16,2,2,12,24
145/1024,3,21,16,2,2,12,24
147/1024,3,21,16,2,2,12,24
149/1024,2,14,11,1,2,8,16
151/1024,4,28,19,3,2,16,32
153/1024,5,35,23,4,2,20,40
155/1024,3,21,15,2,2,12,24
157/1024,3,21,15,2,2,12,24
159/1024,4,28,19,3,2,16,32
161/1024,3,21,17,2,2,12,24
163/1024,2,14,13,1,2,8,16
165/1024,2,14,13,1,2,8,16
167/1024,3,21,19,2,2,12,24
169/1024,2,14,15,1,2,8,16
171/1024,1,7,9,0,2,4,8
173/1024,2,14,14,1,2,8,16
175/1024,2,14,14,1,2,8,16
177/1024,3,21,17,2,2,12,24
179/1024,3,21,17,2,2,12,24
181/1024,2,14,12,1,2,8,16
183/1024,3,21,18,2,2,12,24
185/1024,3,21,18,2,2,12,24
187/1024,2,14,12,1,2,8,16
189/1024,3,21,15,2,2,12,24
191/1024,3,21,15,2,2,12,24
193/1024,4,24,16,3,2,14,28
195/1024,4,24,16,3,2,14,28
197/1024,3,17,13,2,2,10,20
199/1024,5,27,20,4,2,16,32
201/1024,5,27,20,4,2,16,32
203/1024,3,17,13,2,2,10,20
205/1024,5,27,19,4,2,16,32
207/1024,5,27,19,4,2,16,32
209/1024,4,20,16,3,2,12,24
211/1024,4,20,16,3,2,12,24
213/1024,2,10,10,1,2,6,12
215/1024,4,20,17,3,2,12,24
217/1024,5,27,21,4,2,16,32
219/1024,3,17,14,2,2,10,20
221/1024,3,17,14,2,2,10,20
223/1024,4,24,18,3,2,14,28
225/1024,4,24,18,3,2,14,28
227/1024,3,17,14,2,2,10,20
229/1024,3,17,14,2,2,10,20
231/1024,5,27,21,4,2,16,32
233/1024,4,20,17,3,2,12,24
235/1024,2,10,10,1,2,6,12
237/1024,4,20,16,3,2,12,24
239/1024,4,20,16,3,2,12,24
241/1024,5,23,17,4,2,14,28
243/1024,5,23,17,4,2,14,28
245/1024,3,13,11,2,2,8,16
247/1024,5,23,18,4,2,14,28
249/1024,5,23,18,4,2,14,28
251/1024,3,13,11,2,2,8,16
253/1024,4,16,12,3,2,10,20
255/1024,4,16,12,3,2,10,20
257/1024,7,17,14,4,2,12,24
259/1024,6,14,13,3,2,10,20
261/1024,6,14,13,3,2,10,20
263/1024,11,25,22,6,2,18,36
265/1024,10,22,21,5,2,16,32
267/1024,5,11,12,2,2,8,16
269/1024,9,19,19,4,2,14,28
271/1024,9,19,19,4,2,14,28
273/1024,9,19,19,4,2,14,28
275/1024,9,19,19,4,2,14,28
277/1024,5,11,12,2,2,8,16
279/1024,10,22,21,5,2,16,32
281/1024,14,30,27,7,2,22,44
283/1024,9,19,18,4,2,14,28
285/1024,9,19,18,4,2,14,28
287/1024,13,27,24,6,2,20,40
289/1024,12,24,23,5,2,18,36
291/1024,8,16,17,3,2,12,24
293/1024,8,16,17,3,2,12,24
295/1024,12,24,25,5,2,18,36
297/1024,8,16,19,3,2,12,24
299/1024,4,8,11,1,2,6,12
301/1024,8,16,18,3,2,12,24
303/1024,8,16,18,3,2,12,24
305/1024,11,21,22,4,2,16,32
307/1024,11,21,22,4,2,16,32
309/1024,7,13,15,2,2,10,20
311/1024,11,21,23,4,2,16,32
313/1024,11,21,23,4,2,16,32
315/1024,7,13,15,2,2,10,20
317/1024,10,18,19,3,2,14,28
319/1024,10,18,19,3,2,14,28
321/1024,10,18,19,3,2,14,28
323/1024,10,18,19,3,2,14,28
325/1024,7,13,15,2,2,10,20
327/1024,11,21,23,4,2,16,32
329/1024,11,21,23,4,2,16,32
331/1024,7,13,15,2,2,10,20
333/1024,11,21,22,4,2,16,32
335/1024,11,21,22,4,2,16,32
337/1024,8,16,18,3,2,12,24
339/1024,8,16,18,3,2,12,24
341/1024,4,8,11,1,2,6,12
343/1024,8,16,19,3,2,12,24
345/1024,12,24,25,5,2,18,36
347/1024,8,16,17,3,2,12,24
349/1024,8,16,17,3,2,12,24
351/1024,12,24,23,5,2,18,36
353/1024,15,29,26,6,2,22,44
355/1024,11,21,20,4,2,16,32
357/1024,11,21,20,4,2,16,32
359/1024,18,34,31,7,2,26,52
361/1024,14,26,25,5,2,20,40
363/1024,7,13,14,2,2,10,20
365/1024,11,21,21,4,2,16,32
367/1024,11,21,21,4,2,16,32
369/1024,11,21,21,4,2,16,32
371/1024,11,21,21,4,2,16,32
373/1024,7,13,14,2,2,10,20
375/1024,14,26,25,5,2,20,40
377/1024,17,31,28,6,2,24,48
379/1024,10,18,17,3,2,14,28
381/1024,10,18,17,3,2,14,28
383/1024,13,23,20,4,2,18,36
385/1024,12,20,19,3,2,16,32
387/1024,9,15,16,2,2,12,24
389/1024,9,15,16,2,2,12,24
391/1024,15,25,26,4,2,20,40
393/1024,12,20,23,3,2,16,32
395/1024,6,10,13,1,2,8,16
397/1024,9,15,19,2,2,12,24
399/1024,9,15,19,2,2,12,24
401/1024,9,15,19,2,2,12,24
403/1024,9,15,19,2,2,12,24
405/1024,6,10,13,1,2,8,16
407/1024,12,20,23,3,2,16,32
409/1024,15,25,28,4,2,20,40
411/1024,9,15,18,2,2,12,24
413/1024,9,15,18,2,2,12,24
415/1024,12,20,23,3,2,16,32
417/1024,9,15,20,2,2,12,24
419/1024,6,10,15,1,2,8,16
421/1024,6,10,15,1,2,8,16
423/1024,9,15,22,2,2,12,24
425/1024,6,10,17,1,2,8,16
427/1024,3,5,10,0,2,4,8
429/1024,6,10,16,1,2,8,16
431/1024,6,10,16,1,2,8,16
433/1024,9,15,20,2,2,12,24
435/1024,9,15,20,2,2,12,24
