fraction,sample,buffer,mixing,wash,width,height,chip_area
437/1024,6,10,14,1,2,8,16
439/1024,9,15,21,2,2,12,24
441/1024,9,15,21,2,2,12,24
443/1024,6,10,14,1,2,8,16
445/1024,9,15,18,2,2,12,24
447/1024,9,15,18,2,2,12,24
449/1024,11,17,19,3,2,14,28
451/1024,11,17,19,3,2,14,28
453/1024,8,12,15,2,2,10,20
455/1024,13,19,23,4,2,16,32
457/1024,13,19,23,4,2,16,32
459/1024,8,12,15,2,2,10,20
461/1024,13,19,22,4,2,16,32
463/1024,13,19,22,4,2,16,32
465/1024,10,14,18,3,2,12,24
467/1024,10,14,18,3,2,12,24
469/1024,5,7,11,1,2,6,12
471/1024,10,14,19,3,2,12,24
473/1024,13,19,24,4,2,16,32
475/1024,8,12,16,2,2,10,20
477/1024,8,12,16,2,2,10,20
479/1024,11,17,21,3,2,14,28
481/1024,11,17,21,3,2,14,28
483/1024,8,12,16,2,2,10,20
485/1024,8,12,16,2,2,10,20
487/1024,13,19,24,4,2,16,32
489/1024,10,14,19,3,2,12,24
491/1024,5,7,11,1,2,6,12
493/1024,10,14,18,3,2,12,24
495/1024,10,14,18,3,2,12,24
497/1024,12,16,19,4,2,14,28
499/1024,12,16,19,4,2,14,28
501/1024,7,9,12,2,2,8,16
503/1024,12,16,20,4,2,14,28
505/1024,12,16,20,4,2,14,28
507/1024,7,9,12,2,2,8,16
509/1024,9,11,13,3,2,10,20
511/1024,9,11,13,3,2,10,20
513/1024,13,11,14,4,2,12,24
515/1024,11,9,13,3,2,10,20
517/1024,11,9,13,3,2,10,20
519/1024,20,16,22,6,2,18,36
521/1024,18,14,21,5,2,16,32
523/1024,9,7,12,2,2,8,16
525/1024,16,12,19,4,2,14,28
527/1024,16,12,19,4,2,14,28
529/1024,16,12,19,4,2,14,28
531/1024,16,12,19,4,2,14,28
533/1024,9,7,12,2,2,8,16
535/1024,18,14,21,5,2,16,32
537/1024,25,19,27,7,2,22,44
539/1024,16,12,18,4,2,14,28
541/1024,16,12,18,4,2,14,28
543/1024,23,17,24,6,2,20,40
545/1024,21,15,23,5,2,18,36
547/1024,14,10,17,3,2,12,24
549/1024,14,10,17,3,2,12,24
551/1024,21,15,25,5,2,18,36
553/1024,14,10,19,3,2,12,24
555/1024,7,5,11,1,2,6,12
557/1024,14,10,18,3,2,12,24
559/1024,14,10,18,3,2,12,24
561/1024,19,13,22,4,2,16,32
563/1024,19,13,22,4,2,16,32
565/1024,12,8,15,2,2,10,20
567/1024,19,13,23,4,2,16,32
569/1024,19,13,23,4,2,16,32
571/1024,12,8,15,2,2,10,20
573/1024,17,11,19,3,2,14,28
575/1024,17,11,19,3,2,14,28
577/1024,17,11,19,3,2,14,28
579/1024,17,11,19,3,2,14,28
581/1024,12,8,15,2,2,10,20
583/1024,19,13,23,4,2,16,32
585/1024,19,13,23,4,2,16,32
587/1024,12,8,15,2,2,10,20
589/1024,19,13,22,4,2,16,32
591/1024,19,13,22,4,2,16,32
593/1024,14,10,18,3,2,12,24
595/1024,14,10,18,3,2,12,24
597/1024,7,5,11,1,2,6,12
599/1024,14,10,19,3,2,12,24
601/1024,21,15,25,5,2,18,36
603/1024,14,10,17,3,2,12,24
605/1024,14,10,17,3,2,12,24
607/1024,21,15,23,5,2,18,36
609/1024,26,18,26,6,2,22,44
611/1024,19,13,20,4,2,16,32
613/1024,19,13,20,4,2,16,32
615/1024,31,21,31,7,2,26,52
617/1024,24,16,25,5,2,20,40
619/1024,12,8,14,2,2,10,20
621/1024,19,13,21,4,2,16,32
623/1024,19,13,21,4,2,16,32
625/1024,19,13,21,4,2,16,32
627/1024,19,13,21,4,2,16,32
629/1024,12,8,14,2,2,10,20
631/1024,24,16,25,5,2,20,40
633/1024,29,19,28,6,2,24,48
635/1024,17,11,17,3,2,14,28
637/1024,17,11,17,3,2,14,28
639/1024,22,14,20,4,2,18,36
641/1024,20,12,19,3,2,16,32
643/1024,15,9,16,2,2,12,24
645/1024,15,9,16,2,2,12,24
647/1024,25,15,26,4,2,20,40
649/1024,20,12,23,3,2,16,32
651/1024,10,6,13,1,2,8,16
653/1024,15,9,19,2,2,12,24
655/1024,15,9,19,2,2,12,24
657/1024,15,9,19,2,2,12,24
659/1024,15,9,19,2,2,12,24
661/1024,10,6,13,1,2,8,16
663/1024,20,12,23,3,2,16,32
665/1024,25,15,28,4,2,20,40
667/1024,15,9,18,2,2,12,24
669/1024,15,9,18,2,2,12,24
671/1024,20,12,23,3,2,16,32
673/1024,15,9,20,2,2,12,24
675/1024,10,6,15,1,2,8,16
677/1024,10,6,15,1,2,8,16
679/1024,15,9,22,2,2,12,24
681/1024,10,6,17,1,2,8,16
683/1024,5,3,10,0,2,4,8
685/1024,10,6,16,1,2,8,16
687/1024,10,6,16,1,2,8,16
689/1024,15,9,20,2,2,12,24
691/1024,15,9,20,2,2,12,24
693/1024,10,6,14,1,2,8,16
695/1024,15,9,21,2,2,12,24
697/1024,15,9,21,2,2,12,24
699/1024,10,6,14,1,2,8,16
701/1024,15,9,18,2,2,12,24
703/1024,15,9,18,2,2,12,24
705/1024,18,10,19,3,2,14,28
707/1024,18,10,19,3,2,14,28
709/1024,13,7,15,2,2,10,20
711/1024,21,11,23,4,2,16,32
713/1024,21,11,23,4,2,16,32
715/1024,13,7,15,2,2,10,20
717/1024,21,11,22,4,2,16,32
719/1024,21,11,22,4,2,16,32
721/1024,16,8,18,3,2,12,24
723/1024,16,8,18,3,2,12,24
725/1024,8,4,11,1,2,6,12
727/1024,16,8,19,3,2,12,24
729/1024,21,11,24,4,2,16,32
731/1024,13,7,16,2,2,10,20
733/1024,13,7,16,2,2,10,20
735/1024,18,10,21,3,2,14,28
737/1024,18,10,21,3,2,14,28
739/1024,13,7,16,2,2,10,20
741/1024,13,7,16,2,2,10,20
743/1024,21,11,24,4,2,16,32
745/1024,16,8,19,3,2,12,24
747/1024,8,4,11,1,2,6,12
749/1024,16,8,18,3,2,12,24
751/1024,16,8,18,3,2,12,24
753/1024,19,9,19,4,2,14,28
755/1024,19,9,19,4,2,14,28
757/1024,11,5,12,2,2,8,16
759/1024,19,9,20,4,2,14,28
761/1024,19,9,20,4,2,14,28
763/1024,11,5,12,2,2,8,16
765/1024,14,6,13,3,2,10,20
767/1024,14,6,13,3,2,10,20
769/1024,19,5,13,4,2,12,24
771/1024,16,4,12,3,2,10,20
773/1024,16,4,12,3,2,10,20
775/1024,29,7,20,6,2,18,36
777/1024,26,6,19,5,2,16,32
779/1024,13,3,11,2,2,8,16
781/1024,23,5,17,4,2,14,28
783/1024,23,5,17,4,2,14,28
785/1024,23,5,17,4,2,14,28
787/1024,23,5,17,4,2,14,28
789/1024,13,3,11,2,2,8,16
791/1024,26,6,19,5,2,16,32
793/1024,36,8,24,7,2,22,44
795/1024,23,5,16,4,2,14,28
797/1024,23,5,16,4,2,14,28
799/1024,33,7,21,6,2,20,40
801/1024,30,6,20,5,2,18,36
803/1024,20,4,15,3,2,12,24
805/1024,20,4,15,3,2,12,24
807/1024,30,6,22,5,2,18,36
809/1024,20,4,17,3,2,12,24
811/1024,10,2,10,1,2,6,12
813/1024,20,4,16,3,2,12,24
815/1024,20,4,16,3,2,12,24
817/1024,27,5,19,4,2,16,32
819/1024,27,5,19,4,2,16,32
821/1024,17,3,13,2,2,10,20
823/1024,27,5,20,4,2,16,32
825/1024,27,5,20,4,2,16,32
827/1024,17,3,13,2,2,10,20
829/1024,24,4,16,3,2,14,28
831/1024,24,4,16,3,2,14,28
833/1024,24,4,16,3,2,14,28
835/1024,24,4,16,3,2,14,28
837/1024,17,3,13,2,2,10,20
839/1024,27,5,20,4,2,16,32
841/1024,27,5,20,4,2,16,32
843/1024,17,3,13,2,2,10,20
845/1024,27,5,19,4,2,16,32
847/1024,27,5,19,4,2,16,32
849/1024,20,4,16,3,2,12,24
851/1024,20,4,16,3,2,12,24
853/1024,10,2,10,1,2,6,12
855/1024,20,4,17,3,2,12,24
857/1024,30,6,22,5,2,18,36
859/1024,20,4,15,3,2,12,24
861/1024,20,4,15,3,2,12,24
863/1024,30,6,20,5,2,18,36
865/1024,37,7,22,6,2,22,44
867/1024,27,5,17,4,2,16,32
869/1024,27,5,17,4,2,16,32
871/1024,44,8,26,7,2,26,52
873/1024,34,6,21,5,2,20,40
875/1024,17,3,12,2,2,10,20
877/1024,27,5,18,4,2,16,32
879/1024,27,5,18,4,2,16,32
881/1024,27,5,18,4,2,16,32
883/1024,27,5,18,4,2,16,32
885/1024,17,3,12,2,2,10,20
887/1024,34,6,21,5,2,20,40
889/1024,41,7,23,6,2,24,48
891/1024,24,4,14,3,2,14,28
893/1024,24,4,14,3,2,14,28
895/1024,31,5,16,4,2,18,36
897/1024,28,4,15,3,2,16,32
899/1024,21,3,13,2,2,12,24
901/1024,21,3,13,2,2,12,24
903/1024,35,5,21,4,2,20,40
905/1024,28,4,19,3,2,16,32
907/1024,14,2,11,1,2,8,16
909/1024,21,3,16,2,2,12,24
911/1024,21,3,16,2,2,12,24
913/1024,21,3,16,2,2,12,24
915/1024,21,3,16,2,2,12,24
917/1024,14,2,11,1,2,8,16
919/1024,28,4,19,3,2,16,32
921/1024,35,5,23,4,2,20,40
923/1024,21,3,15,2,2,12,24
925/1024,21,3,15,2,2,12,24
927/1024,28,4,19,3,2,16,32
929/1024,21,3,17,2,2,12,24
931/1024,14,2,13,1,2,8,16
933/1024,14,2,13,1,2,8,16
935/1024,21,3,19,2,2,12,24
937/1024,14,2,15,1,2,8,16
939/1024,7,1,9,0,2,4,8
941/1024,14,2,14,1,2,8,16
943/1024,14,2,14,1,2,8,16
945/1024,21,3,17,2,2,12,24
947/1024,21,3,17,2,2,12,24
949/1024,14,2,12,1,2,8,16
951/1024,21,3,18,2,2,12,24
953/1024,21,3,18,2,2,12,24
955/1024,14,2,12,1,2,8,16
957/1024,21,3,15,2,2,12,24
959/1024,21,3,15,2,2,12,24
961/1024,25,3,15,3,2,14,28
963/1024,25,3,15,3,2,14,28
965/1024,18,2,12,2,2,10,20
967/1024,29,3,18,4,2,16,32
969/1024,29,3,18,4,2,16,32
971/1024,18,2,12,2,2,10,20
973/1024,29,3,17,4,2,16,32
975/1024,29,3,17,4,2,16,32
977/1024,22,2,14,3,2,12,24
979/1024,22,2,14,3,2,12,24
981/1024,11,1,9,1,2,6,12
983/1024,22,2,15,3,2,12,24
985/1024,29,3,19,4,2,16,32
987/1024,18,2,13,2,2,10,20
989/1024,18,2,13,2,2,10,20
991/1024,25,3,17,3,2,14,28
993/1024,25,3,17,3,2,14,28
995/1024,18,2,13,2,2,10,20
997/1024,18,2,13,2,2,10,20
999/1024,29,3,19,4,2,16,32
1001/1024,22,2,15,3,2,12,24
1003/1024,11,1,9,1,2,6,12
1005/1024,22,2,14,3,2,12,24
1007/1024,22,2,14,3,2,12,24
1009/1024,26,2,14,4,2,14,28
1011/1024,26,2,14,4,2,14,28
1013/1024,15,1,9,2,2,8,16
1015/1024,26,2,15,4,2,14,28
1017/1024,26,2,15,4,2,14,28
1019/1024,15,1,9,2,2,8,16
1021/1024,19,1,9,3,2,10,20
1023/1024,19,1,9,3,2,10,20
