fraction,sample,buffer,mixing,wash,width,height,chip_area
3/256,1,15,7,2,2,8,16
5/256,1,15,7,2,2,8,16
7/256,2,26,11,4,2,14,28
9/256,2,22,11,3,2,12,24
11/256,1,11,7,1,2,6,12
13/256,2,18,10,2,2,10,20
15/256,2,18,10,2,2,10,20
17/256,2,18,10,2,2,10,20
19/256,2,18,10,2,2,10,20
21/256,1,11,7,1,2,6,12
23/256,2,22,11,3,2,12,24
25/256,3,29,13,4,2,16,32
27/256,2,18,9,2,2,10,20
29/256,2,18,9,2,2,10,20
31/256,3,25,11,3,2,14,28
33/256,3,21,11,2,2,12,24
35/256,2,14,9,1,2,8,16
37/256,2,14,9,1,2,8,16
39/256,3,21,13,2,2,12,24
41/256,2,14,11,1,2,8,16
43/256,1,7,7,0,2,4,8
45/256,2,14,10,1,2,8,16
47/256,2,14,10,1,2,8,16
49/256,3,17,11,2,2,10,20
51/256,3,17,11,2,2,10,20
53/256,2,10,8,1,2,6,12
55/256,3,17,12,2,2,10,20
57/256,3,17,12,2,2,10,20
59/256,2,10,8,1,2,6,12
61/256,3,13,9,2,2,8,16
63/256,3,13,9,2,2,8,16
65/256,6,14,11,3,2,10,20
67/256,5,11,10,2,2,8,16
69/256,5,11,10,2,2,8,16
71/256,9,19,16,4,2,14,28
73/256,8,16,15,3,2,12,24
75/256,4,8,9,1,2,6,12
77/256,7,13,13,2,2,10,20
79/256,7,13,13,2,2,10,20
81/256,7,13,13,2,2,10,20
83/256,7,13,13,2,2,10,20
85/256,4,8,9,1,2,6,12
87/256,8,16,15,3,2,12,24
89/256,11,21,18,4,2,16,32
91/256,7,13,12,2,2,10,20
93/256,7,13,12,2,2,10,20
95/256,10,18,15,3,2,14,28
97/256,9,15,14,2,2,12,24
99/256,6,10,11,1,2,8,16
101/256,6,10,11,1,2,8,16
103/256,9,15,16,2,2,12,24
105/256,6,10,13,1,2,8,16
107/256,3,5,8,0,2,4,8
109/256,6,10,12,1,2,8,16
111/256,6,10,12,1,2,8,16
113/256,8,12,13,2,2,10,20
115/256,8,12,13,2,2,10,20
117/256,5,7,9,1,2,6,12
119/256,8,12,14,2,2,10,20
121/256,8,12,14,2,2,10,20
123/256,5,7,9,1,2,6,12
125/256,7,9,10,2,2,8,16
127/256,7,9,10,2,2,8,16
129/256,11,9,11,3,2,10,20
131/256,9,7,10,2,2,8,16
133/256,9,7,10,2,2,8,16
135/256,16,12,16,4,2,14,28
137/256,14,10,15,3,2,12,24
139/256,7,5,9,1,2,6,12
141/256,12,8,13,2,2,10,20
143/256,12,8,13,2,2,10,20
145/256,12,8,13,2,2,10,20
147/256,12,8,13,2,2,10,20
149/256,7,5,9,1,2,6,12
151/256,14,10,15,3,2,12,24
153/256,19,13,18,4,2,16,32
155/256,12,8,12,2,2,10,20
157/256,12,8,12,2,2,10,20
159/256,17,11,15,3,2,14,28
161/256,15,9,14,2,2,12,24
163/256,10,6,11,1,2,8,16
165/256,10,6,11,1,2,8,16
167/256,15,9,16,2,2,12,24
169/256,10,6,13,1,2,8,16
171/256,5,3,8,0,2,4,8
173/256,10,6,12,1,2,8,16
175/256,10,6,12,1,2,8,16
177/256,13,7,13,2,2,10,20
179/256,13,7,13,2,2,10,20
181/256,8,4,9,1,2,6,12
183/256,13,7,14,2,2,10,20
185/256,13,7,14,2,2,10,20
187/256,8,4,9,1,2,6,12
189/256,11,5,10,2,2,8,16
191/256,11,5,10,2,2,8,16
193/256,16,4,10,3,2,10,20
195/256,13,3,9,2,2,8,16
197/256,13,3,9,2,2,8,16
199/256,23,5,14,4,2,14,28
201/256,20,4,13,3,2,12,24
203/256,10,2,8,1,2,6,12
205/256,17,3,11,2,2,10,20
207/256,17,3,11,2,2,10,20
209/256,17,3,11,2,2,10,20
211/256,17,3,11,2,2,10,20
213/256,10,2,8,1,2,6,12
215/256,20,4,13,3,2,12,24
217/256,27,5,15,4,2,16,32
219/256,17,3,10,2,2,10,20
221/256,17,3,10,2,2,10,20
223/256,24,4,12,3,2,14,28
225/256,21,3,11,2,2,12,24
227/256,14,2,9,1,2,8,16
229/256,14,2,9,1,2,8,16
231/256,21,3,13,2,2,12,24
233/256,14,2,11,1,2,8,16
235/256,7,1,7,0,2,4,8
237/256,14,2,10,1,2,8,16
239/256,14,2,10,1,2,8,16
241/256,18,2,10,2,2,10,20
243/256,18,2,10,2,2,10,20
245/256,11,1,7,1,2,6,12
247/256,18,2,11,2,2,10,20
249/256,18,2,11,2,2,10,20
251/256,11,1,7,1,2,6,12
253/256,15,1,7,2,2,8,16
255/256,15,1,7,2,2,8,16
