fraction,sample,buffer,mixing,wash,width,height,chip_area
3/32,1,11,4,1,2,6,12
5/32,1,7,4,0,2,4,8
7/32,2,10,5,1,2,6,12
9/32,4,8,6,1,2,6,12
11/32,4,8,6,1,2,6,12
13/32,3,5,5,0,2,4,8
15/32,5,7,6,1,2,6,12
17/32,7,5,6,1,2,6,12
19/32,7,5,6,1,2,6,12
21/32,5,3,5,0,2,4,8
23/32,8,4,6,1,2,6,12
25/32,10,2,5,1,2,6,12
27/32,10,2,5,1,2,6,12
29/32,7,1,4,0,2,4,8
31/32,11,1,4,1,2,6,12
