fraction,sample,buffer,mixing,wash,width,height,chip_area
3/17,1,7,3,0,2,4,8
5/17,4,8,5,1,2,6,12
7/17,3,5,4,0,2,4,8
9/17,7,5,5,1,2,6,12
11/17,5,3,4,0,2,4,8
13/17,10,2,4,1,2,6,12
15/17,7,1,3,0,2,4,8
